id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"72906",Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,"176117",Richard Carson,District 18,36.131219999999999,-86.800659999999993,Entire home/apt,"81","2"
"329997",A+ Cottage & private courtyard! 5 mins to Downtown,"1684051",Rick,District 19,36.175800000000002,-86.799499999999995,Entire home/apt,"92","2"
"421290",Private Entry Studio Suite/King/Wetbar/DT 5 min,"1684051",Rick,District 19,36.172300000000000,-86.792500000000004,Entire home/apt,"76","2"
"431258","5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!","1684051",Rick,District 19,36.175800000000002,-86.799499999999995,Entire home/apt,"227","2"
"632636",Admire the Skyline from the Rooftop Terrace at a Chic Suite,"1684051",Rick,District 19,36.172300000000000,-86.792500000000004,Entire home/apt,"142","2"
"681880",Luxurious Rustic Cozy Guesthouse,"3471162",Tiffany,District 7,36.216279999999998,-86.709350000000001,Entire home/apt,"89","2"
"692017",The Music City U.S.A Plantation,"3537810",Paul,District 34,36.069809999999997,-86.773740000000004,Entire home/apt,"1275","2"
"747429",Downtown Great Getaway,"2066370",Lisa,District 21,36.182760000000002,-86.802959999999999,Entire home/apt,"332","2"
"914787",4 BEDS ?WALK to Downtown Nashville ?Pool & Parking,"4910520",Amy,District 19,36.175400000000003,-86.781930000000003,Entire home/apt,"155","1"
"1006989",Private Carriage House,"1896384",John And Mike,District 6,36.175089999999997,-86.735810000000001,Entire home/apt,"95","2"
"1009550",The Fab GuesT QuarTers Suite,"5554006",Jacque,District 7,36.212350000000001,-86.704610000000002,Entire home/apt,"109","3"
"1039298",Hotel-quality Two-bedroom Suite,"5721539",Alyce,District 7,36.224899999999998,-86.722949999999997,Entire home/apt,"79","2"
"1130166",Private Suite in University Area,"6201847",Cally And  Ken,District 17,36.122000000000000,-86.788439999999994,Entire home/apt,"85","2"
"1206512",Designer's Home in Belmont/12South,"3759875",Alayna,District 18,36.126089999999998,-86.796629999999993,Entire home/apt,"600","4"
"1209395",Music Row Midtown Apartment,"6604593",Michael,District 19,36.148829999999997,-86.796289999999999,Entire home/apt,"94","3"
"1300670",Valentino's Retreat,"119023",Dana,District 10,36.321140000000000,-86.726439999999997,Entire home/apt,"135","2"
"1376970",East Nashville private duplex apt,"387150",Kristina,District 7,36.189450000000001,-86.725309999999993,Entire home/apt,"89","30"
"1537921",Truly Central East Nashville Private Cozy Cottage,"113637",Cynthia,District 6,36.167940000000002,-86.737589999999997,Entire home/apt,"111","2"
