STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,id,name_2,host_id,host_name,neighbourh,neighbou_1,latitude,longitude,room_type,price,minimum_ni,number_of_,last_revie,reviews_pe,calculated,availabili,number_o_1,license
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","7805346",The Robertson -  Fab Urban Country,"9596278",Jacob,,District 20,36.156469999999999,-86.867940000000004,Entire home/apt,"110","1","505",2021/11/30,6.540000000000000,"4","294","65",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","13139208","Chez Bewer, private room,balcony, and bath.","73222963",Kirk,,District 20,36.154089999999997,-86.863910000000004,Private room,"139","1","247",2021/11/21,3.660000000000000,"2","329","35",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","13388342",Nashville's hottest Airbnb!,"76043551",Daniel,,District 20,36.155929999999998,-86.861210000000000,Entire home/apt,"477","2","224",2021/10/31,3.370000000000000,"1","40","7",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","14487681",Nashvegas getaway/ hot tub/ 6 miles to downtown,"23834026",Darlene,,District 20,36.152459999999998,-86.872150000000005,Entire home/apt,"153","2","153",2021/11/22,2.360000000000000,"1","141","40",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","15807102",♫Here for a Good Time♫ 9 Min to DTN ⏱ 10AM CheckIn,"52168747",Fred,,District 20,36.156550000000003,-86.861419999999995,Entire home/apt,"300","2","118",2021/11/27,1.900000000000000,"1","44","24",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","16265448","Bright, comfortable, & convenient - no hidden fees","106367383",Joel,,District 20,36.151229999999998,-86.863529999999997,Entire home/apt,"250","3","110",2021/11/27,1.820000000000000,"1","326","22",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","16302619",The Holiday Home! Brand New & Sleeps 12,"106666990",Tyler And Wes,,District 20,36.162529999999997,-86.875950000000003,Entire home/apt,"254","3","199",2021/12/13,3.290000000000000,"1","161","30",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","16635019",Cozy Red Door Cottage,"109895093",Mary,,District 20,36.154600000000002,-86.867040000000003,Entire home/apt,"150","3","133",2021/11/28,2.260000000000000,"1","353","23",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","16945346","Quaint, Retro, West Nash Cottage","27790568",Justin & Sunshine,,District 20,36.153359999999999,-86.867050000000006,Entire home/apt,"89","1","302",2021/11/21,5.120000000000000,"1","118","74",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","19738055",The Red Barn Loft - Charming Getaway in Nashville,"19573486",Nicole,,District 20,36.157589999999999,-86.873850000000004,Entire home/apt,"200","1","203",2021/11/28,3.770000000000000,"1","164","59",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","20614238",Home away from home-10mins from downtown Nashville,"147341754",Martisca,,District 20,36.156350000000003,-86.875410000000002,Entire home/apt,"192","2","15",2019/09/02,0.290000000000000,"1","66","0",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","21723860","4BR Brand New Spacious, Clean Home in The Nations!","114574279",Kelsey,,District 20,36.155340000000002,-86.865780000000001,Entire home/apt,"300","1","7",2019/11/10,0.150000000000000,"1","0","0",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","21804968","Large new home, multiple balconies, skyline view!","6242360",Alex,,District 20,36.152169999999998,-86.864050000000006,Entire home/apt,"600","1","0",,,"1","365","0",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","22520815",Kirk's Retreat,"73222963",Kirk,,District 20,36.152169999999998,-86.863759999999999,Private room,"139","1","89",2021/12/12,2.020000000000000,"2","86","22",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","23582563",Private West Nashville Annex - Spacious & Cozy!,"76613293",Denise,,District 20,36.163319999999999,-86.876609999999999,Entire home/apt,"66","1","159",2021/12/06,3.480000000000000,"1","265","38",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","28637925",Holidays in Nashville!★Brand New★Sleeps 12,"6721823",Tyler And Josh,,District 20,36.151350000000001,-86.867210000000000,Entire home/apt,"266","3","200",2021/11/22,5.110000000000000,"2","327","62",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","35802891",Nashville Getaway - 10 Minutes from Downtown,"49109954",Kimberly,,District 20,36.151280000000000,-86.869370000000004,Entire home/apt,"196","1","24",2021/11/28,1.110000000000000,"1","157","19",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","39816532",Basic private room and bath to relax & enjoy!,"6982602",Laura,,District 20,36.158230000000003,-86.865120000000005,Private room,"105","30","40",2021/11/06,1.670000000000000,"1","31","16",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","41682090",Southern Bungalow | City Privacy | 12+ Beds,"6721823",Tyler And Josh,,District 20,36.157179999999997,-86.872590000000002,Entire home/apt,"276","1","3",2020/03/16,0.130000000000000,"2","225","0",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","42690971",Cozy Home 7 miles to Broadway FREE parking!,"340077068",Hey Y'All,,District 20,36.163249999999998,-86.871070000000003,Entire home/apt,"143","2","41",2021/11/27,1.910000000000000,"1","99","31",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","42926036",Welcome to West Park Place! 6mi to Downtown Nash!,"71112010",Jeanelle,,District 20,36.160339999999998,-86.868790000000004,Entire home/apt,"192","2","5",2020/09/20,0.270000000000000,"5","56","0",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","43139078",Spacious 3 Bedroom Home★Private Bathroom in EVERY Bedroom!★ Game Room★ Free Early Check-In Nov-Feb!,"1445093",Andrew & Rachel,,District 20,36.158360000000002,-86.873149999999995,Entire home/apt,"222","2","37",2021/11/22,1.940000000000000,"15","337","29",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","43139129",Spacious 3 Bedroom Home★Garage Parking★ Private Bathroom in EVERY Bedroom!★ 9 Beds★Free Early Check-In Nov-Feb,"1445093",Andrew & Rachel,,District 20,36.158279999999998,-86.874139999999997,Entire home/apt,"222","2","35",2021/11/26,1.850000000000000,"15","354","29",
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605","43139150",Spacious 3 Bedroom Home★Garage Parking★ Private Bathroom in EVERY Bedroom!★ 9 Beds★Free Early Check-In Nov-Feb,"1445093",Andrew & Rachel,,District 20,36.156730000000003,-86.874279999999999,Entire home/apt,"220","2","37",2021/11/26,2.050000000000000,"15","350","29",
