OBJECTID,GEOID,B25001e1,B25001m1,B25002e1,B25002m1,B25002e3,B25002m3,B25003e3,B25003m3,B25004e1,B25004m1,B25004e3,B25004m3,B25004e6,B25004m6,B25004e7,B25004m7
"1",14000US47001020100,1806,100,1806,100,296,110,1112,154,296,110,0,12,24,38,0,12
"2",14000US47001020201,1899,87,1899,87,187,108,579,116,187,108,54,59,38,50,0,12
"3",14000US47001020202,2074,67,2074,67,343,144,618,142,343,144,0,12,0,12,0,12
"4",14000US47001020300,1760,63,1760,63,274,107,377,101,274,107,0,12,27,42,0,12
"5",14000US47001020400,2287,104,2287,104,410,161,713,223,410,161,0,12,0,12,0,12
"6",14000US47001020500,1748,100,1748,100,314,106,704,123,314,106,0,12,0,12,0,12
"7",14000US47001020600,1021,48,1021,48,104,45,169,56,104,45,0,12,28,31,0,12
"8",14000US47001020700,740,66,740,66,169,65,83,47,169,65,0,12,10,15,0,12
"9",14000US47001020800,2122,134,2122,134,234,114,667,178,234,114,16,21,61,72,0,12
"10",14000US47001020901,2807,137,2807,137,587,175,418,133,587,175,0,17,155,110,0,17
"11",14000US47001020902,2641,134,2641,134,182,130,415,169,182,130,0,17,0,17,0,17
"12",14000US47001021000,2626,153,2626,153,122,105,631,208,122,105,0,17,0,17,0,17
"13",14000US47001021100,1811,84,1811,84,162,81,282,107,162,81,20,32,0,12,0,12
"14",14000US47001021201,2073,112,2073,112,182,94,362,107,182,94,0,17,30,48,0,17
"15",14000US47001021202,2941,173,2941,173,385,181,1691,240,385,181,42,68,56,76,0,17
"16",14000US47001021301,1596,69,1596,69,235,93,286,114,235,93,0,12,0,12,0,12
"17",14000US47001021302,3019,165,3019,165,244,109,688,212,244,109,0,17,0,17,0,17
"18",14000US47001980100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"19",14000US47003950100,1653,94,1653,94,127,81,191,77,127,81,0,12,36,44,0,12
"20",14000US47003950200,2935,116,2935,116,358,154,459,167,358,154,0,17,47,73,0,17
"21",14000US47003950300,1543,108,1543,108,250,102,196,97,250,102,0,12,28,43,0,12
"22",14000US47003950401,2046,98,2046,98,177,101,528,104,177,101,0,17,23,36,0,17
"23",14000US47003950402,2836,129,2836,129,233,141,1241,200,233,141,0,17,0,17,0,17
"24",14000US47003950500,2539,118,2539,118,337,166,951,203,337,166,0,17,0,17,0,17
"25",14000US47003950600,3003,134,3003,134,384,172,1483,213,384,172,40,64,39,65,0,17
"26",14000US47003950700,1236,80,1236,80,107,57,223,105,107,57,5,11,0,12,0,12
"27",14000US47003950800,1342,72,1342,72,131,62,84,57,131,62,0,12,0,12,0,12
"28",14000US47005963000,2118,104,2118,104,703,129,161,59,703,129,6,9,511,121,0,12
"29",14000US47005963100,1864,107,1864,107,511,104,336,138,511,104,0,12,210,91,0,12
"30",14000US47005963200,1335,88,1335,88,475,106,138,54,475,106,0,12,129,58,0,12
"31",14000US47005963300,1794,132,1794,132,243,110,661,126,243,110,0,12,30,48,0,12
"32",14000US47005963400,2004,107,2004,107,421,122,252,88,421,122,0,12,57,45,0,12
"33",14000US47007953000,1646,122,1646,122,278,107,291,120,278,107,0,12,129,82,0,12
"34",14000US47007953100,2491,135,2491,135,279,91,781,158,279,91,0,17,78,66,0,17
"35",14000US47007953200,1626,118,1626,118,312,104,210,79,312,104,0,12,82,64,0,12
"36",14000US47009010100,1310,120,1310,120,185,104,504,118,185,104,0,12,0,12,0,12
"37",14000US47009010200,2775,167,2775,167,134,110,740,171,134,110,34,55,0,17,0,17
"38",14000US47009010301,3004,140,3004,140,443,186,1494,211,443,186,131,119,107,103,0,17
"39",14000US47009010302,1608,123,1608,123,152,65,375,111,152,65,0,12,48,38,0,12
"40",14000US47009010400,1405,77,1405,77,170,71,246,79,170,71,10,16,14,13,0,12
"41",14000US47009010500,1407,100,1407,100,115,76,674,134,115,76,0,12,23,38,0,12
"42",14000US47009010600,1637,73,1637,73,193,97,657,117,193,97,0,12,67,58,0,12
"43",14000US47009010700,1998,123,1998,123,195,100,515,137,195,100,28,44,24,36,0,17
"44",14000US47009010800,1412,74,1412,74,179,89,530,109,179,89,32,49,43,46,0,12
"45",14000US47009010900,2748,99,2748,99,316,153,404,139,316,153,38,59,0,17,0,17
"46",14000US47009011001,2629,123,2629,123,378,175,640,187,378,175,0,17,67,76,0,17
"47",14000US47009011002,1868,70,1868,70,173,81,133,60,173,81,0,12,59,63,0,12
