"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370101031000","Block 1000, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","9","2","7"
"1000000US470370101031001","Block 1001, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","36","36","0"
"1000000US470370101031002","Block 1002, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","35","29","6"
"1000000US470370101031003","Block 1003, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","76","65","11"
"1000000US470370101031004","Block 1004, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","96","94","2"
"1000000US470370101031005","Block 1005, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","20","20","0"
"1000000US470370101031006","Block 1006, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","29","28","1"
"1000000US470370101031007","Block 1007, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","12","12","0"
"1000000US470370101031008","Block 1008, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","8","8","0"
"1000000US470370101031009","Block 1009, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101031010","Block 1010, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","33","33","0"
"1000000US470370101031011","Block 1011, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","27","27","0"
"1000000US470370101031012","Block 1012, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","29","28","1"
"1000000US470370101031013","Block 1013, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101031014","Block 1014, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101031015","Block 1015, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101031016","Block 1016, Block Group 1, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101032000","Block 2000, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101032001","Block 2001, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101032002","Block 2002, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","12","8","4"
"1000000US470370101032003","Block 2003, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","10","10","0"
"1000000US470370101032004","Block 2004, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","68","66","2"
"1000000US470370101032005","Block 2005, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","0","0","0"
"1000000US470370101032006","Block 2006, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","15","15","0"
"1000000US470370101032007","Block 2007, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","29","29","0"
"1000000US470370101032008","Block 2008, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","12","12","0"
"1000000US470370101032009","Block 2009, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","32","32","0"
"1000000US470370101032010","Block 2010, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","65","65","0"
"1000000US470370101032011","Block 2011, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","10","1","9"
"1000000US470370101032012","Block 2012, Block Group 2, Census Tract 101.03, Davidson County, Tennessee","24","22","2"
