STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605"
"47","037","013201","47037013201","132.01",Census Tract 132.01,G5020,S,"1909944","254000","+36.1496854","-086.8826046"
"47","037","018409","47037018409","184.09",Census Tract 184.09,G5020,S,"3432607","0","+36.0757738","-086.9512200"
"47","037","018410","47037018410","184.10",Census Tract 184.10,G5020,S,"1227824","0","+36.0712762","-086.9382585"
"47","037","015804","47037015804","158.04",Census Tract 158.04,G5020,S,"1664634","0","+36.1346906","-086.7023849"
"47","037","015629","47037015629","156.29",Census Tract 156.29,G5020,S,"6237959","0","+36.0506677","-086.6371121"
"47","037","015626","47037015626","156.26",Census Tract 156.26,G5020,S,"3393771","0","+36.0722871","-086.6476413"
"47","037","015628","47037015628","156.28",Census Tract 156.28,G5020,S,"2163929","0","+36.0532074","-086.6572042"
"47","037","015622","47037015622","156.22",Census Tract 156.22,G5020,S,"6094455","0","+36.1839435","-086.5833010"
"47","037","019117","47037019117","191.17",Census Tract 191.17,G5020,S,"12972892","0","+36.0192025","-086.6464226"
"47","037","018803","47037018803","188.03",Census Tract 188.03,G5020,S,"3516173","0","+36.0423162","-086.7687901"
"47","037","017702","47037017702","177.02",Census Tract 177.02,G5020,S,"3296657","0","+36.0995275","-086.7996835"
"47","037","017701","47037017701","177.01",Census Tract 177.01,G5020,S,"5280372","0","+36.0960880","-086.7761379"
"47","037","018804","47037018804","188.04",Census Tract 188.04,G5020,S,"4784962","16671","+36.0267961","-086.7561011"
"47","037","019118","47037019118","191.18",Census Tract 191.18,G5020,S,"2026269","0","+36.0382898","-086.6692376"
"47","037","018904","47037018904","189.04",Census Tract 189.04,G5020,S,"2582791","0","+36.0657785","-086.7267063"
"47","037","018905","47037018905","189.05",Census Tract 189.05,G5020,S,"1462431","0","+36.0593606","-086.7364091"
"47","037","018302","47037018302","183.02",Census Tract 183.02,G5020,S,"49994337","13533","+36.0400075","-087.0145261"
"47","037","015630","47037015630","156.30",Census Tract 156.30,G5020,S,"12630202","0","+36.0300305","-086.6145102"
"47","037","011002","47037011002","110.02",Census Tract 110.02,G5020,S,"3721846","0","+36.2251651","-086.7401186"
"47","037","011100","47037011100","111",Census Tract 111,G5020,S,"4129802","113359","+36.2251788","-086.7223685"
"47","037","015614","47037015614","156.14",Census Tract 156.14,G5020,S,"2011006","0","+36.0851071","-086.6579011"
"47","037","017300","47037017300","173",Census Tract 173,G5020,S,"2359527","0","+36.1195065","-086.7427953"
"47","037","015300","47037015300","153",Census Tract 153,G5020,S,"18246143","1102625","+36.2119439","-086.6890171"
"47","037","018601","47037018601","186.01",Census Tract 186.01,G5020,S,"10775771","0","+36.0684297","-086.8576227"
"47","037","011500","47037011500","115",Census Tract 115,G5020,S,"3599286","135840","+36.2018066","-086.7127035"
"47","037","010903","47037010903","109.03",Census Tract 109.03,G5020,S,"6302107","0","+36.2495121","-086.7634646"
"47","037","980200","47037980200","9802",Census Tract 9802,G5020,S,"3750174","0","+36.0995268","-086.7586124"
"47","037","013100","47037013100","131",Census Tract 131,G5020,S,"87771322","2807476","+36.2131426","-086.9297320"
"47","037","015619","47037015619","156.19",Census Tract 156.19,G5020,S,"7164319","8705939","+36.0872112","-086.5882734"
"47","037","015401","47037015401","154.01",Census Tract 154.01,G5020,S,"11044696","804569","+36.2226366","-086.6138044"
"47","037","015609","47037015609","156.09",Census Tract 156.09,G5020,S,"4704869","0","+36.1719693","-086.6206020"
"47","037","015405","47037015405","154.05",Census Tract 154.05,G5020,S,"3414225","0","+36.2059302","-086.5922143"
"47","037","019112","47037019112","191.12",Census Tract 191.12,G5020,S,"6573475","0","+36.0360859","-086.6924301"
"47","037","018407","47037018407","184.07",Census Tract 184.07,G5020,S,"8547498","0","+36.0655752","-086.9776924"
"47","037","011700","47037011700","117",Census Tract 117,G5020,S,"3248262","0","+36.1895940","-086.7439431"
"47","037","018404","47037018404","184.04",Census Tract 184.04,G5020,S,"15847095","0","+36.0680265","-086.8948466"
"47","037","011600","47037011600","116",Census Tract 116,G5020,S,"8132311","329831","+36.1834916","-086.7119394"
"47","037","018500","47037018500","185",Census Tract 185,G5020,S,"10256503","0","+36.0977601","-086.8608732"
"47","037","019111","47037019111","191.11",Census Tract 191.11,G5020,S,"2427840","0","+36.0492324","-086.6797933"
"47","037","012801","47037012801","128.01",Census Tract 128.01,G5020,S,"8828185","153768","+36.2168400","-086.8289333"
"47","037","010901","47037010901","109.01",Census Tract 109.01,G5020,S,"5397680","0","+36.2652178","-086.7586113"
"47","037","015617","47037015617","156.17",Census Tract 156.17,G5020,S,"3075839","2581744","+36.0964151","-086.6065101"
"47","037","018000","47037018000","180",Census Tract 180,G5020,S,"4282696","0","+36.1215420","-086.8291863"
"47","037","012701","47037012701","127.01",Census Tract 127.01,G5020,S,"8306152","17656","+36.2222364","-086.7917569"
"47","037","015615","47037015615","156.15",Census Tract 156.15,G5020,S,"2229878","0","+36.0739200","-086.6732871"
"47","037","018201","47037018201","182.01",Census Tract 182.01,G5020,S,"7242386","0","+36.1153233","-086.8913807"
"47","037","018405","47037018405","184.05",Census Tract 184.05,G5020,S,"6923175","0","+36.0522688","-086.9406762"
"47","037","018408","47037018408","184.08",Census Tract 184.08,G5020,S,"6108866","0","+36.0460647","-086.9719234"
"47","037","010501","47037010501","105.01",Census Tract 105.01,G5020,S,"15663614","3626449","+36.2749497","-086.6559244"
"47","037","010502","47037010502","105.02",Census Tract 105.02,G5020,S,"7200322","1078857","+36.2251827","-086.6369451"
"47","037","011200","47037011200","112",Census Tract 112,G5020,S,"3182452","0","+36.2111532","-086.7293558"
"47","037","011800","47037011800","118",Census Tract 118,G5020,S,"1431641","0","+36.1859783","-086.7643983"
"47","037","011900","47037011900","119",Census Tract 119,G5020,S,"1382467","0","+36.1790857","-086.7590631"
"47","037","012100","47037012100","121",Census Tract 121,G5020,S,"1486725","0","+36.1804660","-086.7382659"
